CO_IES;SG_UF;NO_MUNICIPIO;NO_CINE_ROTULO;CO_CINE_ROTULO;CO_CINE_AREA_GERAL;NO_CINE_AREA_GERAL;CO_CINE_AREA_ESPECIFICA;NO_CINE_AREA_ESPECIFICA;CO_CINE_AREA_DETALHADA;NO_CINE_AREA_DETALHADA;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_NACESTRANG;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_NACESTRANG;ANO
55;SP;Ribeirão Preto;Contabilidade;"""0411C01""";04;Negócios, administração e direito;041;Negócios e administração;0411;Contabilidade e tributação;3;2;1;0;3;0;0;0;0;0;3;0;0;0;0;0;12;3;9;0;9;3;0;0;0;0;8;0;1;0;1;0;2013
55;SP;Ribeirão Preto;Contabilidade;"""0411C01""";04;Negócios, administração e direito;041;Negócios e administração;0411;Contabilidade e tributação;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;4;0;4;3;0;0;0;0;4;0;0;0;0;0;2013
55;SP;Ribeirão Preto;Contabilidade;"""0411C01""";04;Negócios, administração e direito;041;Negócios e administração;0411;Contabilidade e tributação;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;5;2;3;0;3;2;0;0;0;0;4;0;0;0;0;0;2013
55;SP;Ribeirão Preto;Economia;"""0311E01""";03;Ciências sociais, comunicação e informação;031;Ciências sociais e comportamentais;0311;Economia;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;9;2;7;0;5;4;0;0;0;0;7;0;0;1;0;0;2013
55;SP;Ribeirão Preto;Economia;"""0311E01""";03;Ciências sociais, comunicação e informação;031;Ciências sociais e comportamentais;0311;Economia;3;2;1;0;3;0;0;0;0;0;3;0;0;0;0;0;16;6;10;0;11;5;0;0;0;0;10;1;0;0;1;0;2013
55;SP;Ribeirão Preto;Economia;"""0311E01""";03;Ciências sociais, comunicação e informação;031;Ciências sociais e comportamentais;0311;Economia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;1;0;7;1;0;0;0;0;7;0;0;0;0;0;2013
55;SP;Ribeirão Preto;Artes formação de professor;"""0114A01""";01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);10;5;5;0;8;2;0;0;0;0;1;0;0;0;0;0;24;10;14;0;15;4;2;1;0;0;13;3;4;1;0;0;2013
55;SP;Ribeirão Preto;Educação física;"""0915E01""";09;Saúde e bem-estar;091;Saúde;0915;Promoção, prevenção, terapia e reabilitação;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;5;20;0;19;4;1;1;0;0;15;0;7;1;0;0;2013
55;SP;Ribeirão Preto;Educação física;"""0915E01""";09;Saúde e bem-estar;091;Saúde;0915;Promoção, prevenção, terapia e reabilitação;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7;7;0;14;0;0;0;0;0;10;1;1;0;0;0;2013
55;SP;Ribeirão Preto;Enfermagem;"""0913E01""";09;Saúde e bem-estar;091;Saúde;0913;Enfermagem;81;73;8;0;78;2;0;0;0;0;3;0;1;0;0;0;55;52;3;0;46;7;0;0;0;0;48;0;5;1;0;0;2013
55;SP;Ribeirão Preto;Enfermagem formação de professor;"""0114E05""";01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);49;36;13;0;43;6;0;0;0;0;1;0;0;0;0;0;33;25;8;0;7;22;2;1;0;0;25;1;3;0;0;0;2013
55;SP;Ribeirão Preto;Enfermagem;"""0913E01""";09;Saúde e bem-estar;091;Saúde;0913;Enfermagem;17;11;6;0;14;3;0;0;0;0;0;0;0;0;0;0;33;25;8;0;7;22;2;1;0;0;25;1;3;0;0;0;2013
55;SP;Ribeirão Preto;Farmácia;"""0916F01""";09;Saúde e bem-estar;091;Saúde;0916;Farmácia;52;36;16;1;50;0;0;0;0;0;2;0;0;0;0;0;38;22;16;0;22;16;0;0;0;0;31;0;2;2;0;0;2013
55;SP;Ribeirão Preto;Farmácia;"""0916F01""";09;Saúde e bem-estar;091;Saúde;0916;Farmácia;36;28;8;0;34;2;0;0;0;0;0;0;0;0;0;0;25;18;7;0;10;14;0;0;0;0;17;0;0;0;1;0;2013
55;SP;Ribeirão Preto;Fisioterapia;"""0915F01""";09;Saúde e bem-estar;091;Saúde;0915;Promoção, prevenção, terapia e reabilitação;39;31;8;1;37;1;0;0;0;0;0;0;0;0;0;1;36;27;9;0;21;14;0;0;0;0;22;0;5;5;0;0;2013
55;SP;Ribeirão Preto;Fonoaudiologia;"""0915F02""";09;Saúde e bem-estar;091;Saúde;0915;Promoção, prevenção, terapia e reabilitação;30;29;1;0;30;0;0;0;0;0;0;0;0;0;0;0;23;21;2;0;18;4;0;0;1;0;18;0;1;1;0;0;2013
55;SP;Ribeirão Preto;Física médica;"""0533F03""";05;Ciências naturais, matemática e estatística;053;Ciências físicas;0533;Física;42;15;27;0;35;5;0;0;0;0;0;0;0;0;0;0;22;2;20;0;9;11;0;0;0;1;13;0;2;1;0;0;2013
55;SP;Ribeirão Preto;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);"""0688P01""";06;Computação e Tecnologias da Informação e Comunicação (TIC);068;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);0688;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);36;9;27;0;31;2;0;0;0;0;1;0;1;0;0;0;112;42;70;0;97;15;0;0;0;0;60;1;19;6;0;0;2013
55;SP;Ribeirão Preto;Matemática aplicada e computacional;"""0541M02""";05;Ciências naturais, matemática e estatística;054;Matemática e estatística;0541;Matemática;45;23;22;0;43;0;0;0;0;0;22;0;3;2;0;0;20;11;9;0;11;9;0;0;0;0;11;0;3;4;0;1;2013
55;SP;Ribeirão Preto;Medicina;"""0912M01""";09;Saúde e bem-estar;091;Saúde;0912;Medicina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;39;54;0;35;53;0;0;0;0;65;0;6;9;0;1;2013
55;SP;Ribeirão Preto;Música;"""0215M01""";02;Artes e humanidades;021;Artes;0215;Música e artes cênicas;3;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Ribeirão Preto;Música;"""0215M01""";02;Artes e humanidades;021;Artes;0215;Música e artes cênicas;13;4;9;0;10;2;1;0;0;0;0;1;0;0;0;0;10;5;5;0;3;7;0;0;0;0;6;1;1;0;0;0;2013
55;SP;Ribeirão Preto;Nutrição;"""0915N01""";09;Saúde e bem-estar;091;Saúde;0915;Promoção, prevenção, terapia e reabilitação;29;27;2;0;29;0;0;0;0;0;0;0;1;0;0;0;17;13;4;0;15;2;0;0;0;0;15;0;1;1;0;0;2013
55;SP;Ribeirão Preto;Odontologia;"""0911O01""";09;Saúde e bem-estar;091;Saúde;0911;Odontologia;79;48;31;0;75;4;0;0;0;0;3;0;0;0;0;1;4;0;4;0;2;1;0;0;0;0;3;0;0;0;0;0;2013
55;SP;Ribeirão Preto;Pedagogia;"""0113P01""";01;Educação;011;Educação;0113;Formação de professores sem áreas específicas;56;52;4;0;43;5;2;1;3;0;2;0;0;0;0;0;48;44;4;0;30;10;4;0;0;0;37;0;8;1;1;0;2013
55;SP;Ribeirão Preto;Psicologia;"""0313P01""";03;Ciências sociais, comunicação e informação;031;Ciências sociais e comportamentais;0313;Psicologia;46;33;13;0;45;0;0;0;0;0;2;0;0;0;0;0;26;17;9;0;10;15;0;0;0;0;20;1;3;0;0;0;2013
55;SP;Ribeirão Preto;Psicologia formação de professor;"""0114P01""";01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2013
55;SP;Ribeirão Preto;Psicologia;"""0313P01""";03;Ciências sociais, comunicação e informação;031;Ciências sociais e comportamentais;0313;Psicologia;2;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;31;20;11;0;19;10;0;0;0;0;27;1;2;0;0;0;2013
55;SP;Ribeirão Preto;Química formação de professor;"""0114Q01""";01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);38;24;14;0;34;2;0;1;0;0;2;0;1;0;0;0;16;10;6;0;6;9;0;0;0;0;10;1;2;0;0;0;2013
55;SP;Ribeirão Preto;Química;"""0531Q01""";05;Ciências naturais, matemática e estatística;053;Ciências físicas;0531;Química;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15;7;8;0;11;4;0;0;0;0;12;1;0;0;0;0;2013
55;SP;Ribeirão Preto;Química;"""0531Q01""";05;Ciências naturais, matemática e estatística;053;Ciências físicas;0531;Química;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;9;11;0;17;3;0;0;0;0;15;0;1;0;0;0;2013
55;SP;Ribeirão Preto;Química industrial e tecnológica;"""0531Q02""";05;Ciências naturais, matemática e estatística;053;Ciências físicas;0531;Química;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;10;7;0;14;2;0;0;0;0;13;0;4;0;0;0;2013
55;SP;Ribeirão Preto;Terapia ocupacional;"""0915T01""";09;Saúde e bem-estar;091;Saúde;0915;Promoção, prevenção, terapia e reabilitação;17;17;0;0;16;1;0;0;0;0;1;0;0;0;0;1;14;14;0;0;10;4;0;0;0;0;13;0;0;0;0;0;2013
55;SP;São Carlos;ABI Ciências naturais, matemática e estatística;"""0011A05""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;33;15;18;0;26;4;1;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;São Carlos;ABI Engenharia, produção e construção;"""0011A07""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;49;6;43;0;48;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;São Carlos;ABI Ciências naturais, matemática e estatística;"""0011A05""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;18;4;14;0;16;2;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;São Carlos;ABI Ciências naturais, matemática e estatística;"""0011A05""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;25;7;18;0;22;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;São Carlos;ABI Ciências naturais, matemática e estatística;"""0011A05""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;59;26;33;0;57;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;São Carlos;Arquitetura e urbanismo;"""0731A02""";07;Engenharia, produção e construção;073;Arquitetura e construção;0731;Arquitetura e planejamento urbano;47;31;16;0;46;1;0;0;0;0;2;0;0;0;0;1;27;23;4;0;16;11;0;0;0;0;17;0;4;3;0;0;2013
55;SP;São Carlos;Ciência da computação;"""0614C01""";06;Computação e Tecnologias da Informação e Comunicação (TIC);061;Computação e Tecnologias da Informação e Comunicação (TIC);0614;Ciência da computação;133;16;117;1;127;4;1;0;0;0;18;0;0;0;0;1;77;10;67;0;45;30;0;0;0;0;49;0;5;9;0;1;2013
55;SP;São Carlos;Física formação de professor;"""0114F02""";01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;8;2;6;0;3;2;0;1;0;0;5;1;0;0;0;0;2013
55;SP;São Carlos;Matemática formação de professor;"""0114M01""";01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;6;2;4;0;3;3;0;0;0;0;5;0;1;0;0;0;2013
55;SP;São Carlos;Química formação de professor;"""0114Q01""";01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);3;3;0;0;1;2;0;0;0;0;2;0;1;0;0;0;3;0;3;0;1;2;0;0;0;0;1;0;0;1;0;0;2013
55;SP;São Carlos;Física aplicada;"""0533F02""";05;Ciências naturais, matemática e estatística;053;Ciências físicas;0533;Física;35;17;18;0;34;0;1;0;0;0;2;0;0;0;0;0;22;14;8;0;17;5;0;0;0;0;19;0;0;1;0;0;2013
55;SP;São Carlos;Engenharia aeronáutica;"""0716E02""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0716;Veículos a motor, construção naval, aeronáutica, ferroviária e metroviária;42;9;33;0;41;1;0;0;0;0;1;0;0;0;0;1;27;1;26;0;22;5;0;0;0;0;23;0;1;2;0;0;2013
55;SP;São Carlos;Engenharia ambiental;"""0712E01""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0712;Tecnologia de proteção ambiental;42;17;25;0;41;1;0;0;0;0;2;0;0;1;0;1;22;9;13;0;12;10;0;0;0;0;12;0;2;1;0;0;2013
55;SP;São Carlos;Engenharia civil;"""0732E01""";07;Engenharia, produção e construção;073;Arquitetura e construção;0732;Engenharia civil e construção;63;14;49;1;59;3;0;0;0;0;1;0;0;0;0;2;48;9;39;0;31;16;0;0;0;0;37;0;2;2;0;0;2013
55;SP;São Carlos;Engenharia de computação (DCN Engenharia);"""0714E04""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0714;Eletrônica e automação;63;4;59;2;58;3;0;0;0;0;8;0;2;0;0;0;25;1;24;0;20;5;0;0;0;0;16;0;1;2;0;0;2013
55;SP;São Carlos;Engenharia de materiais;"""0722E01""";07;Engenharia, produção e construção;072;Produção e processamento;0722;Materiais;63;23;40;0;61;2;0;0;0;0;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;São Carlos;Engenharia de produção;"""0725E02""";07;Engenharia, produção e construção;072;Produção e processamento;0725;Produção e processos de fabricação;51;9;42;1;50;0;0;0;0;0;6;0;0;0;0;1;38;6;32;0;29;8;0;0;0;0;32;0;2;1;0;0;2013
55;SP;São Carlos;Engenharia elétrica;"""0713E05""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0713;Eletricidade e energia;57;5;52;0;55;2;0;0;0;0;5;0;0;0;0;1;27;2;25;0;17;10;0;0;0;0;17;0;1;0;0;1;2013
55;SP;São Carlos;Engenharia elétrica;"""0713E05""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0713;Eletricidade e energia;60;7;53;2;56;2;0;0;0;0;7;0;1;1;0;0;36;5;31;0;14;21;0;0;0;0;20;0;0;0;0;0;2013
55;SP;São Carlos;Engenharia mecatrônica;"""0714E09""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0714;Eletrônica e automação;55;4;51;1;52;1;1;0;0;0;4;0;0;0;0;0;30;4;26;0;26;3;0;0;0;0;20;0;4;2;1;0;2013
55;SP;São Carlos;Engenharia mecânica;"""0715E02""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0715;Engenharia mecânica e metalurgia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;2013
55;SP;São Carlos;Engenharia mecânica;"""0715E02""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0715;Engenharia mecânica e metalurgia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;2;4;0;0;0;0;3;0;1;0;0;1;2013
55;SP;São Carlos;Engenharia mecânica;"""0715E02""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0715;Engenharia mecânica e metalurgia;8;1;7;0;8;0;0;0;0;0;5;0;1;0;0;0;20;2;18;0;11;7;0;0;0;0;12;1;1;0;0;0;2013
55;SP;São Carlos;Engenharia mecânica;"""0715E02""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0715;Engenharia mecânica e metalurgia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;3;1;0;0;0;0;4;0;0;0;0;0;2013
55;SP;São Carlos;Estatística;"""0542E01""";05;Ciências naturais, matemática e estatística;054;Matemática e estatística;0542;Estatística;33;11;22;0;27;5;0;0;0;0;5;0;3;0;0;0;6;4;2;0;4;1;0;0;0;0;5;0;0;1;0;0;2013
55;SP;São Carlos;Física;"""0533F01""";05;Ciências naturais, matemática e estatística;053;Ciências físicas;0533;Física;40;10;30;0;37;3;0;0;0;0;11;0;0;0;0;0;10;0;10;0;8;2;0;0;0;0;6;0;0;0;0;0;2013
